video_file,target_type,target_state,target_position,frame_time_sec,confidence,bbox_center_x,bbox_center_y,frame_number
SHOT0001.MP4,red,entire,top-left,0.1,0.366,466,222,4
SHOT0001.MP4,red,entire,top-right,0.8,0.389,2574,455,32
SHOT0001.MP4,dark,entire,middle-right,1.03,0.311,2314,584,41
SHOT0001.MP4,red,entire,middle-right,1.08,0.321,2257,607,43
SHOT0001.MP4,red,entire,middle-right,1.1,0.352,2226,620,44
SHOT0001.MP4,red,entire,middle-right,1.15,0.32,2163,641,46
SHOT0001.MP4,red,entire,middle-right,1.25,0.37,2045,671,50
SHOT0001.MP4,red,entire,middle-right,1.45,0.42,1803,705,58
SHOT0001.MP4,red,entire,middle-center,1.5,0.354,1740,710,60
SHOT0001.MP4,dark,entire,middle-center,1.53,0.335,1710,715,61
SHOT0001.MP4,red,entire,middle-center,1.6,0.443,1625,718,64
SHOT0001.MP4,dark,entire,middle-center,1.73,0.333,1486,716,69
SHOT0001.MP4,dark,entire,middle-center,1.75,0.365,1460,714,70
SHOT0001.MP4,dark,entire,middle-center,2.08,0.378,1238,657,83
SHOT0001.MP4,dark,entire,middle-center,2.1,0.4,1227,656,84
SHOT0001.MP4,red,entire,middle-center,2.13,0.337,1215,653,85
SHOT0001.MP4,dark,entire,middle-center,2.15,0.543,1204,648,86
SHOT0001.MP4,dark,entire,middle-center,2.18,0.462,1198,643,87
SHOT0001.MP4,dark,entire,middle-center,2.2,0.398,1187,642,88
SHOT0001.MP4,red,entire,middle-center,2.23,0.301,1180,640,89
SHOT0001.MP4,dark,entire,middle-center,2.33,0.386,1156,628,93
SHOT0001.MP4,dark,entire,middle-center,2.38,0.394,1146,627,95
SHOT0001.MP4,dark,entire,middle-center,2.43,0.384,1138,626,97
SHOT0001.MP4,dark,entire,middle-center,2.5,0.357,1125,627,100
SHOT0001.MP4,dark,entire,middle-center,2.68,0.35,1100,642,107
SHOT0001.MP4,dark,entire,middle-center,2.7,0.455,1095,644,108
SHOT0001.MP4,dark,entire,middle-center,2.73,0.423,1092,650,109
SHOT0001.MP4,red,entire,middle-center,3.23,0.413,1087,623,129
SHOT0001.MP4,red,entire,middle-center,3.25,0.357,1100,610,130
SHOT0001.MP4,red,entire,middle-center,3.3,0.533,1133,585,132
SHOT0001.MP4,red,entire,middle-center,3.35,0.413,1174,559,134
SHOT0001.MP4,red,entire,middle-center,3.38,0.409,1195,546,135
SHOT0001.MP4,red,entire,middle-center,3.43,0.419,1238,523,137
SHOT0001.MP4,red,entire,middle-center,3.45,0.433,1265,514,138
SHOT0001.MP4,red,entire,top-center,3.53,0.423,1343,490,141
SHOT0001.MP4,red,entire,top-center,3.55,0.53,1369,484,142
SHOT0001.MP4,red,entire,top-center,3.58,0.333,1398,478,143
SHOT0001.MP4,red,entire,top-center,3.63,0.337,1454,468,145
SHOT0001.MP4,red,entire,top-center,3.65,0.436,1484,464,146
SHOT0001.MP4,red,entire,top-center,3.68,0.386,1518,461,147
SHOT0001.MP4,red,entire,top-center,3.7,0.384,1549,459,148
SHOT0001.MP4,red,entire,top-center,8.66,0.423,1312,171,346
SHOT0001.MP4,red,entire,top-center,8.68,0.508,1321,208,347
SHOT0001.MP4,red,entire,top-center,8.71,0.443,1327,241,348
SHOT0001.MP4,red,entire,top-center,8.73,0.517,1336,274,349
SHOT0001.MP4,red,entire,top-center,8.76,0.531,1341,305,350
SHOT0001.MP4,red,entire,top-center,8.78,0.604,1345,335,351
SHOT0001.MP4,red,entire,top-center,8.81,0.71,1351,362,352
SHOT0001.MP4,red,entire,top-center,8.83,0.748,1356,389,353
SHOT0001.MP4,red,entire,top-center,8.86,0.758,1360,413,354
